WKT,id,x_center,y_center
"POLYGON ((123.892822265624829 6.94823863811701,123.892822265624829 6.959144154386006,123.903808593749815 6.959144154386007,123.903808593749815 6.94823863811701,123.892822265624829 6.94823863811701))",2724,123.898315,6.953691
"POLYGON ((123.892822265624829 6.937332868878441,123.892822265624829 6.94823863811701,123.903808593749815 6.94823863811701,123.903808593749815 6.937332868878439,123.892822265624829 6.937332868878441))",2725,123.898315,6.942786
"POLYGON ((123.892822265624829 6.926426847059552,123.892822265624829 6.937332868878441,123.903808593749815 6.937332868878439,123.903808593749815 6.926426847059552,123.892822265624829 6.926426847059552))",2726,123.898315,6.931880
"POLYGON ((123.892822265624829 6.915520573049649,123.892822265624829 6.926426847059552,123.903808593749815 6.926426847059552,123.903808593749815 6.915520573049647,123.892822265624829 6.915520573049649))",2727,123.898315,6.920974
"POLYGON ((123.892822265624829 6.904614047238079,123.892822265624829 6.915520573049649,123.903808593749815 6.915520573049647,123.903808593749815 6.904614047238078,123.892822265624829 6.904614047238079))",2728,123.898315,6.910067
"POLYGON ((123.903808593749815 7.362466865535739,123.903808593749815 7.373362480979631,123.914794921874801 7.37336248097963,123.914794921874801 7.362466865535738,123.903808593749815 7.362466865535739))",2781,123.909302,7.367915
"POLYGON ((123.903808593749815 7.351570982365007,123.903808593749815 7.362466865535739,123.914794921874801 7.362466865535738,123.914794921874801 7.351570982365007,123.903808593749815 7.351570982365007))",2782,123.909302,7.357019
"POLYGON ((123.903808593749815 7.340674831854912,123.903808593749815 7.351570982365007,123.914794921874801 7.351570982365007,123.914794921874801 7.340674831854914,123.903808593749815 7.340674831854912))",2783,123.909302,7.346123
"POLYGON ((123.903808593749815 7.329778414392967,123.903808593749815 7.340674831854912,123.914794921874801 7.340674831854914,123.914794921874801 7.329778414392967,123.903808593749815 7.329778414392967))",2784,123.909302,7.335227
"POLYGON ((123.903808593749815 7.318881730366751,123.903808593749815 7.329778414392967,123.914794921874801 7.329778414392967,123.914794921874801 7.318881730366749,123.903808593749815 7.318881730366751))",2785,123.909302,7.324330
"POLYGON ((123.903808593749815 7.307984780163871,123.903808593749815 7.318881730366751,123.914794921874801 7.318881730366749,123.914794921874801 7.307984780163871,123.903808593749815 7.307984780163871))",2786,123.909302,7.313433
"POLYGON ((123.903808593749815 7.297087564171998,123.903808593749815 7.307984780163871,123.914794921874801 7.307984780163871,123.914794921874801 7.297087564171998,123.903808593749815 7.297087564171998))",2787,123.909302,7.302536
"POLYGON ((123.903808593749815 7.286190082778841,123.903808593749815 7.297087564171998,123.914794921874801 7.297087564171998,123.914794921874801 7.286190082778841,123.903808593749815 7.286190082778841))",2788,123.909302,7.291639
"POLYGON ((123.903808593749815 7.275292336372166,123.903808593749815 7.286190082778841,123.914794921874801 7.286190082778841,123.914794921874801 7.275292336372164,123.903808593749815 7.275292336372166))",2789,123.909302,7.280741
"POLYGON ((123.903808593749815 7.111794602472417,123.903808593749815 7.12269627751829,123.914794921874801 7.12269627751829,123.914794921874801 7.111794602472419,123.903808593749815 7.111794602472417))",2804,123.909302,7.117245
"POLYGON ((123.903808593749815 7.100892668623646,123.903808593749815 7.111794602472417,123.914794921874801 7.111794602472419,123.914794921874801 7.100892668623645,123.903808593749815 7.100892668623646))",2805,123.909302,7.106344
"POLYGON ((123.903808593749815 7.089990476360541,123.903808593749815 7.100892668623646,123.914794921874801 7.100892668623645,123.914794921874801 7.089990476360541,123.903808593749815 7.089990476360541))",2806,123.909302,7.095442
"POLYGON ((123.903808593749815 7.079088026071714,123.903808593749815 7.089990476360541,123.914794921874801 7.089990476360541,123.914794921874801 7.079088026071713,123.903808593749815 7.079088026071714))",2807,123.909302,7.084539
"POLYGON ((123.903808593749815 7.068185318145823,123.903808593749815 7.079088026071714,123.914794921874801 7.079088026071713,123.914794921874801 7.068185318145824,123.903808593749815 7.068185318145823))",2808,123.909302,7.073637
"POLYGON ((123.903808593749815 7.057282352971569,123.903808593749815 7.068185318145823,123.914794921874801 7.068185318145824,123.914794921874801 7.057282352971569,123.903808593749815 7.057282352971569))",2809,123.909302,7.062734
"POLYGON ((123.903808593749815 7.046379130937702,123.903808593749815 7.057282352971569,123.914794921874801 7.057282352971569,123.914794921874801 7.046379130937703,123.903808593749815 7.046379130937702))",2810,123.909302,7.051831
"POLYGON ((123.903808593749815 7.03547565243302,123.903808593749815 7.046379130937702,123.914794921874801 7.046379130937703,123.914794921874801 7.03547565243302,123.903808593749815 7.03547565243302))",2811,123.909302,7.040927
"POLYGON ((123.903808593749815 7.024571917846366,123.903808593749815 7.03547565243302,123.914794921874801 7.03547565243302,123.914794921874801 7.024571917846365,123.903808593749815 7.024571917846366))",2812,123.909302,7.030024
"POLYGON ((123.903808593749815 7.01366792756663,123.903808593749815 7.024571917846366,123.914794921874801 7.024571917846365,123.914794921874801 7.013667927566628,123.903808593749815 7.01366792756663))",2813,123.909302,7.019120
"POLYGON ((123.903808593749815 7.002763681982739,123.903808593749815 7.01366792756663,123.914794921874801 7.013667927566628,123.914794921874801 7.002763681982739,123.903808593749815 7.002763681982739))",2814,123.909302,7.008216
"POLYGON ((123.903808593749815 6.991859181483682,123.903808593749815 7.002763681982739,123.914794921874801 7.002763681982739,123.914794921874801 6.991859181483683,123.903808593749815 6.991859181483682))",2815,123.909302,6.997311
"POLYGON ((123.903808593749815 6.980954426458486,123.903808593749815 6.991859181483682,123.914794921874801 6.991859181483683,123.914794921874801 6.980954426458485,123.903808593749815 6.980954426458486))",2816,123.909302,6.986407
"POLYGON ((123.903808593749815 6.970049417296221,123.903808593749815 6.980954426458486,123.914794921874801 6.980954426458485,123.914794921874801 6.970049417296221,123.903808593749815 6.970049417296221))",2817,123.909302,6.975502
"POLYGON ((123.903808593749815 6.959144154386007,123.903808593749815 6.970049417296221,123.914794921874801 6.970049417296221,123.914794921874801 6.959144154386007,123.903808593749815 6.959144154386007))",2818,123.909302,6.964597
"POLYGON ((123.903808593749815 6.94823863811701,123.903808593749815 6.959144154386007,123.914794921874801 6.959144154386007,123.914794921874801 6.94823863811701,123.903808593749815 6.94823863811701))",2819,123.909302,6.953691
"POLYGON ((123.903808593749815 6.937332868878439,123.903808593749815 6.94823863811701,123.914794921874801 6.94823863811701,123.914794921874801 6.937332868878439,123.903808593749815 6.937332868878439))",2820,123.909302,6.942786
"POLYGON ((123.903808593749815 6.926426847059552,123.903808593749815 6.937332868878439,123.914794921874801 6.937332868878439,123.914794921874801 6.926426847059552,123.903808593749815 6.926426847059552))",2821,123.909302,6.931880
"POLYGON ((123.903808593749815 6.915520573049647,123.903808593749815 6.926426847059552,123.914794921874801 6.926426847059552,123.914794921874801 6.915520573049648,123.903808593749815 6.915520573049647))",2822,123.909302,6.920974
"POLYGON ((123.903808593749815 6.904614047238078,123.903808593749815 6.915520573049647,123.914794921874801 6.915520573049648,123.914794921874801 6.904614047238078,123.903808593749815 6.904614047238078))",2823,123.909302,6.910067
"POLYGON ((123.903808593749815 6.893707270014231,123.903808593749815 6.904614047238078,123.914794921874801 6.904614047238078,123.914794921874801 6.893707270014231,123.903808593749815 6.893707270014231))",2824,123.909302,6.899161
"POLYGON ((123.903808593749815 6.882800241767548,123.903808593749815 6.893707270014231,123.914794921874801 6.893707270014231,123.914794921874801 6.882800241767549,123.903808593749815 6.882800241767548))",2825,123.909302,6.888254
"POLYGON ((123.903808593749815 6.871892962887514,123.903808593749815 6.882800241767548,123.914794921874801 6.882800241767549,123.914794921874801 6.871892962887514,123.903808593749815 6.871892962887514))",2826,123.909302,6.877347
"POLYGON ((123.903808593749815 6.860985433763655,123.903808593749815 6.871892962887514,123.914794921874801 6.871892962887514,123.914794921874801 6.860985433763655,123.903808593749815 6.860985433763655))",2827,123.909302,6.866439
"POLYGON ((123.903808593749815 6.850077654785546,123.903808593749815 6.860985433763655,123.914794921874801 6.860985433763655,123.914794921874801 6.850077654785549,123.903808593749815 6.850077654785546))",2828,123.909302,6.855532
"POLYGON ((123.914794921874801 7.37336248097963,123.914794921874801 7.384257828309257,123.925781249999801 7.384257828309255,123.925781249999801 7.37336248097963,123.914794921874801 7.37336248097963))",2875,123.920288,7.378810
"POLYGON ((123.914794921874801 7.362466865535738,123.914794921874801 7.37336248097963,123.925781249999801 7.37336248097963,123.925781249999801 7.362466865535738,123.914794921874801 7.362466865535738))",2876,123.920288,7.367915
"POLYGON ((123.914794921874801 7.351570982365007,123.914794921874801 7.362466865535738,123.925781249999801 7.362466865535738,123.925781249999801 7.351570982365007,123.914794921874801 7.351570982365007))",2877,123.920288,7.357019
"POLYGON ((123.914794921874801 7.340674831854914,123.914794921874801 7.351570982365007,123.925781249999801 7.351570982365007,123.925781249999801 7.340674831854914,123.914794921874801 7.340674831854914))",2878,123.920288,7.346123
"POLYGON ((123.914794921874801 7.329778414392967,123.914794921874801 7.340674831854914,123.925781249999801 7.340674831854914,123.925781249999801 7.329778414392969,123.914794921874801 7.329778414392967))",2879,123.920288,7.335227
"POLYGON ((123.914794921874801 7.318881730366749,123.914794921874801 7.329778414392967,123.925781249999801 7.329778414392969,123.925781249999801 7.318881730366751,123.914794921874801 7.318881730366749))",2880,123.920288,7.324330
"POLYGON ((123.914794921874801 7.307984780163871,123.914794921874801 7.318881730366749,123.925781249999801 7.318881730366751,123.925781249999801 7.307984780163871,123.914794921874801 7.307984780163871))",2881,123.920288,7.313433
"POLYGON ((123.914794921874801 7.297087564171998,123.914794921874801 7.307984780163871,123.925781249999801 7.307984780163871,123.925781249999801 7.297087564171997,123.914794921874801 7.297087564171998))",2882,123.920288,7.302536
"POLYGON ((123.914794921874801 7.286190082778841,123.914794921874801 7.297087564171998,123.925781249999801 7.297087564171997,123.925781249999801 7.286190082778839,123.914794921874801 7.286190082778841))",2883,123.920288,7.291639
"POLYGON ((123.914794921874801 7.275292336372164,123.914794921874801 7.286190082778841,123.925781249999801 7.286190082778839,123.925781249999801 7.275292336372166,123.914794921874801 7.275292336372164))",2884,123.920288,7.280741
"POLYGON ((123.914794921874801 7.264394325339773,123.914794921874801 7.275292336372164,123.925781249999801 7.275292336372166,123.925781249999801 7.264394325339775,123.914794921874801 7.264394325339773))",2885,123.920288,7.269843
"POLYGON ((123.914794921874801 7.13359769337275,123.914794921874801 7.144498849647324,123.925781249999801 7.144498849647324,123.925781249999801 7.133597693372749,123.914794921874801 7.13359769337275))",2897,123.920288,7.139048
"POLYGON ((123.914794921874801 7.12269627751829,123.914794921874801 7.13359769337275,123.925781249999801 7.133597693372749,123.925781249999801 7.12269627751829,123.914794921874801 7.12269627751829))",2898,123.920288,7.128147
"POLYGON ((123.914794921874801 7.111794602472419,123.914794921874801 7.12269627751829,123.925781249999801 7.12269627751829,123.925781249999801 7.111794602472418,123.914794921874801 7.111794602472419))",2899,123.920288,7.117245
"POLYGON ((123.914794921874801 7.100892668623645,123.914794921874801 7.111794602472419,123.925781249999801 7.111794602472418,123.925781249999801 7.100892668623644,123.914794921874801 7.100892668623645))",2900,123.920288,7.106344
"POLYGON ((123.914794921874801 7.089990476360541,123.914794921874801 7.100892668623645,123.925781249999801 7.100892668623644,123.925781249999801 7.089990476360541,123.914794921874801 7.089990476360541))",2901,123.920288,7.095442
"POLYGON ((123.914794921874801 7.079088026071713,123.914794921874801 7.089990476360541,123.925781249999801 7.089990476360541,123.925781249999801 7.079088026071714,123.914794921874801 7.079088026071713))",2902,123.920288,7.084539
"POLYGON ((123.914794921874801 7.068185318145824,123.914794921874801 7.079088026071713,123.925781249999801 7.079088026071714,123.925781249999801 7.068185318145822,123.914794921874801 7.068185318145824))",2903,123.920288,7.073637
"POLYGON ((123.914794921874801 7.057282352971569,123.914794921874801 7.068185318145824,123.925781249999801 7.068185318145822,123.925781249999801 7.05728235297157,123.914794921874801 7.057282352971569))",2904,123.920288,7.062734
"POLYGON ((123.914794921874801 7.046379130937703,123.914794921874801 7.057282352971569,123.925781249999801 7.05728235297157,123.925781249999801 7.046379130937702,123.914794921874801 7.046379130937703))",2905,123.920288,7.051831
"POLYGON ((123.914794921874801 7.03547565243302,123.914794921874801 7.046379130937703,123.925781249999801 7.046379130937702,123.925781249999801 7.03547565243302,123.914794921874801 7.03547565243302))",2906,123.920288,7.040927
"POLYGON ((123.914794921874801 7.024571917846365,123.914794921874801 7.03547565243302,123.925781249999801 7.03547565243302,123.925781249999801 7.024571917846367,123.914794921874801 7.024571917846365))",2907,123.920288,7.030024
"POLYGON ((123.914794921874801 7.013667927566628,123.914794921874801 7.024571917846365,123.925781249999801 7.024571917846367,123.925781249999801 7.013667927566629,123.914794921874801 7.013667927566628))",2908,123.920288,7.019120
"POLYGON ((123.914794921874801 7.002763681982739,123.914794921874801 7.013667927566628,123.925781249999801 7.013667927566629,123.925781249999801 7.002763681982739,123.914794921874801 7.002763681982739))",2909,123.920288,7.008216
